Quarter,Geographical region,Country of nationality,"Total Family",Partner ,"Partner (for immediate settlement)",Child ,"Child (for immediate settlement)",Other ,"Other (for immediate settlement)"
2008 Q2,America Central and South,Colombia,89,77,0,0,8,2,2
2008 Q2,Africa Sub-Saharan,Comoros,1,1,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Congo,3,1,0,0,0,0,2
2008 Q2,Africa Sub-Saharan,Congo (Democratic Republic),39,10,1,0,2,25,1
2008 Q2,Oceania,Cook Islands,0,0,0,0,0,0,0
2008 Q2,America Central and South,Costa Rica,1,1,0,0,0,0,0
2008 Q2,EU Other,Croatia,21,18,1,0,1,0,1
2008 Q2,America Central and South,Cuba,30,30,0,0,0,0,0
2008 Q2,America Central and South,Curacao,z,z,z,z,z,z,z
2008 Q2,EU Other,Cyprus,3,3,0,0,0,0,0
2008 Q2,Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0
2008 Q2,EU 8,Czech Republic,0,0,0,0,0,0,0
2008 Q2,EU 14,Denmark,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Djibouti,2,2,0,0,0,0,0
2008 Q2,America Central and South,Dominica,6,6,0,0,0,0,0
2008 Q2,America Central and South,Dominican Republic,19,18,0,0,1,0,0
2008 Q2,Asia South East,East Timor,0,0,0,0,0,0,0
2008 Q2,America Central and South,Ecuador,21,21,0,0,0,0,0
2008 Q2,Africa North,Egypt,88,82,2,0,4,0,0
2008 Q2,America Central and South,El Salvador,4,1,0,0,3,0,0
2008 Q2,Africa Sub-Saharan,Equatorial Guinea,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Eritrea,118,26,1,0,1,88,2
2008 Q2,EU 8,Estonia,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Ethiopia,60,37,0,0,2,17,4
2008 Q2,Other,Falkland Islands (British),0,0,0,0,0,0,0
2008 Q2,Europe Other,Faroe Islands,0,0,0,0,0,0,0
2008 Q2,Oceania,Fiji,1,1,0,0,0,0,0
2008 Q2,EU 14,Finland,0,0,0,0,0,0,0
2008 Q2,Europe Other,Former Yugoslavia,27,24,1,0,0,0,2
2008 Q2,EU 14,France,0,0,0,0,0,0,0
2008 Q2,America Central and South,French Guiana,0,0,0,0,0,0,0
2008 Q2,Oceania,French Polynesia,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Gabon,2,2,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,"Gambia, The",98,91,0,0,3,4,0
2008 Q2,Europe Other,Georgia,8,7,0,0,0,0,1
2008 Q2,EU 14,Germany,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Ghana,239,206,3,0,29,0,1
2008 Q2,Other,Gibraltar (British),0,0,0,0,0,0,0
2008 Q2,EU 14,Greece,0,0,0,0,0,0,0
2008 Q2,Europe Other,Greenland,0,0,0,0,0,0,0
2008 Q2,America Central and South,Grenada,10,10,0,0,0,0,0
2008 Q2,America Central and South,Guadeloupe,0,0,0,0,0,0,0
2008 Q2,Oceania,Guam,0,0,0,0,0,0,0
2008 Q2,America Central and South,Guatemala,13,1,0,12,0,0,0
2008 Q2,Africa Sub-Saharan,Guinea,23,6,0,0,0,17,0
2008 Q2,Africa Sub-Saharan,Guinea-Bissau,0,0,0,0,0,0,0
2008 Q2,America Central and South,Guyana,23,21,0,0,2,0,0
2008 Q2,America Central and South,Haiti,1,1,0,0,0,0,0
2008 Q2,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0
2008 Q2,America Central and South,Honduras,0,0,0,0,0,0,0
2008 Q2,Asia East,Hong Kong,60,57,1,0,2,0,0
2008 Q2,EU 8,Hungary,0,0,0,0,0,0,0
2008 Q2,Europe Other,Iceland,0,0,0,0,0,0,0
2008 Q2,Asia South,India,"1,454","1,311",4,1,87,1,50
2008 Q2,Asia South East,Indonesia,33,32,1,0,0,0,0
2008 Q2,Middle East,Iran,139,115,0,0,0,21,3
2008 Q2,Middle East,Iraq,219,186,0,0,19,12,2
2008 Q2,EU 14,Ireland,0,0,0,0,0,0,0
2008 Q2,Middle East,Israel,34,31,0,0,3,0,0
2008 Q2,EU 14,Italy,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Ivory Coast,14,5,0,0,0,9,0
2008 Q2,America Central and South,Jamaica,293,226,0,0,67,0,0
2008 Q2,Asia East,Japan,142,140,0,0,2,0,0
2008 Q2,Middle East,Jordan,6,5,1,0,0,0,0
2008 Q2,Asia Central,Kazakhstan,12,11,0,0,1,0,0
2008 Q2,Africa Sub-Saharan,Kenya,155,128,6,0,15,0,6
2008 Q2,Oceania,Kiribati,0,0,0,0,0,0,0
2008 Q2,Asia East,Korea (North),0,0,0,0,0,0,0
2008 Q2,Asia East,Korea (South),31,27,3,0,1,0,0
2008 Q2,Europe Other,Kosovo,0,0,0,0,0,0,0
2008 Q2,Middle East,Kuwait,2,2,0,0,0,0,0
2008 Q2,Asia Central,Kyrgyzstan,0,0,0,0,0,0,0
2008 Q2,Asia South East,Laos,2,2,0,0,0,0,0
2008 Q2,EU 8,Latvia,0,0,0,0,0,0,0
2008 Q2,Middle East,Lebanon,18,18,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Lesotho,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Liberia,10,7,0,0,0,3,0
2008 Q2,Africa North,Libya,20,20,0,0,0,0,0
2008 Q2,Europe Other,Liechtenstein,0,0,0,0,0,0,0
2008 Q2,EU 8,Lithuania,0,0,0,0,0,0,0
2008 Q2,EU 14,Luxembourg,0,0,0,0,0,0,0
2008 Q2,Asia East,Macau,1,1,0,0,0,0,0
2008 Q2,Europe Other,Macedonia,14,14,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Madagascar,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Malawi,10,6,0,0,4,0,0
2008 Q2,Asia South East,Malaysia,70,56,0,0,14,0,0
2008 Q2,Asia South,Maldives,1,1,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Mali,0,0,0,0,0,0,0
2008 Q2,EU Other,Malta,0,0,0,0,0,0,0
2008 Q2,Oceania,Marshall Islands,0,0,0,0,0,0,0
2008 Q2,America Central and South,Martinique,0,0,0,0,0,0,0
2008 Q2,Africa North,Mauritania,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Mauritius,56,47,0,0,9,0,0
2008 Q2,Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0
2008 Q2,America Central and South,Mexico,34,27,1,0,6,0,0
2008 Q2,Oceania,Micronesia,0,0,0,0,0,0,0
2008 Q2,Europe Other,Moldova,13,10,2,0,1,0,0
2008 Q2,Europe Other,Monaco,0,0,0,0,0,0,0
2008 Q2,Asia East,Mongolia,4,2,0,0,2,0,0
2008 Q2,Europe Other,Montenegro,0,0,0,0,0,0,0
2008 Q2,Other,Montserrat (British),0,0,0,0,0,0,0
2008 Q2,Africa North,Morocco,132,129,1,0,1,0,1
2008 Q2,Africa Sub-Saharan,Mozambique,1,1,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Namibia,6,6,0,0,0,0,0
2008 Q2,Oceania,Nauru,0,0,0,0,0,0,0
2008 Q2,Asia South,Nepal,246,120,23,0,35,2,66
2008 Q2,EU 14,Netherlands,0,0,0,0,0,0,0
2008 Q2,America Central and South,Netherlands Antilles,0,0,0,0,0,0,0
2008 Q2,Oceania,New Caledonia,0,0,0,0,0,0,0
2008 Q2,Oceania,New Zealand,113,96,1,0,16,0,0
2008 Q2,America Central and South,Nicaragua,6,6,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Niger,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Nigeria,385,328,13,0,39,0,5
2008 Q2,Oceania,Niue,0,0,0,0,0,0,0
2008 Q2,Oceania,Norfolk Island,0,0,0,0,0,0,0
2008 Q2,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0
2008 Q2,Europe Other,Norway,0,0,0,0,0,0,0
2008 Q2,Middle East,Occupied Palestinian Territories,7,7,0,0,0,0,0
2008 Q2,Middle East,Oman,1,1,0,0,0,0,0
2008 Q2,Other,Other and unknown,84,56,0,0,3,25,0
2008 Q2,Asia South,Pakistan,"1,822","1,790",4,1,9,0,18
2008 Q2,Oceania,Palau,0,0,0,0,0,0,0
2008 Q2,America Central and South,Panama,3,3,0,0,0,0,0
2008 Q2,Oceania,Papua New Guinea,1,0,1,0,0,0,0
2008 Q2,America Central and South,Paraguay,0,0,0,0,0,0,0
2008 Q2,America Central and South,Peru,29,27,0,0,2,0,0
2008 Q2,Asia South East,Philippines,306,230,1,1,70,0,4
2008 Q2,Other,Pitcairn Islands (British),0,0,0,0,0,0,0
2008 Q2,EU 8,Poland,0,0,0,0,0,0,0
2008 Q2,EU 14,Portugal,0,0,0,0,0,0,0
2008 Q2,America North,Puerto Rico,0,0,0,0,0,0,0
2008 Q2,Middle East,Qatar,0,0,0,0,0,0,0
2008 Q2,Other,Refugee,3,3,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0
2008 Q2,EU 2,Romania,0,0,0,0,0,0,0
2008 Q2,Europe Other,Russia,198,168,6,4,12,2,6
2008 Q2,Africa Sub-Saharan,Rwanda,19,8,0,0,6,3,2
2008 Q2,Oceania,Samoa,0,0,0,0,0,0,0
2008 Q2,Europe Other,San Marino,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Sao Tome and Principe,0,0,0,0,0,0,0
2008 Q2,Middle East,Saudi Arabia,2,2,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Senegal,10,10,0,0,0,0,0
2008 Q2,Europe Other,Serbia,0,0,0,0,0,0,0
2008 Q2,Europe Other,Serbia and Montenegro,z,z,z,z,z,z,z
2008 Q2,Africa Sub-Saharan,Seychelles,7,6,0,0,1,0,0
2008 Q2,Africa Sub-Saharan,Sierra Leone,75,46,1,0,22,6,0
2008 Q2,Asia South East,Singapore,10,10,0,0,0,0,0
2008 Q2,EU 8,Slovakia,0,0,0,0,0,0,0
2008 Q2,EU 8,Slovenia,0,0,0,0,0,0,0
2008 Q2,Oceania,Solomon Islands,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Somalia,401,64,3,0,13,258,63
2008 Q2,Africa Sub-Saharan,South Africa,535,481,20,0,32,0,2
2008 Q2,Other,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0
2008 Q2,EU 14,Spain,0,0,0,0,0,0,0
2008 Q2,Asia South,Sri Lanka,301,248,0,0,11,17,25
2008 Q2,Other,St. Helena (British),0,0,0,0,0,0,0
2008 Q2,America Central and South,St. Kitts and Nevis,0,0,0,0,0,0,0
2008 Q2,America Central and South,St. Lucia,12,12,0,0,0,0,0
2008 Q2,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z,z,z
2008 Q2,America Central and South,St. Martin (French Part),0,0,0,0,0,0,0
2008 Q2,America Central and South,St. Pierre and Miquelon,0,0,0,0,0,0,0
2008 Q2,America Central and South,St. Vincent and the Grenadines,6,6,0,0,0,0,0
2008 Q2,Other,Stateless,0,0,0,0,0,0,0
2008 Q2,Africa North,Sudan,44,21,1,0,1,17,4
2008 Q2,Africa Sub-Saharan,Sudan (South),z,z,z,z,z,z,z
2008 Q2,America Central and South,Surinam,0,0,0,0,0,0,0
2008 Q2,Europe Other,Svalbard and Jan Mayen,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Swaziland,1,1,0,0,0,0,0
2008 Q2,EU 14,Sweden,0,0,0,0,0,0,0
2008 Q2,Europe Other,Switzerland,0,0,0,0,0,0,0
2008 Q2,Middle East,Syria,32,20,0,0,0,12,0
2008 Q2,Asia East,Taiwan,27,23,1,0,1,0,2
2008 Q2,Asia Central,Tajikistan,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Tanzania,51,36,2,0,7,0,6
2008 Q2,Asia South East,Thailand,617,550,0,5,61,0,1
2008 Q2,Africa Sub-Saharan,Togo,2,2,0,0,0,0,0
2008 Q2,Oceania,Tokelau,0,0,0,0,0,0,0
2008 Q2,Oceania,Tonga,0,0,0,0,0,0,0
2008 Q2,America Central and South,Trinidad and Tobago,29,26,0,0,0,0,3
2008 Q2,Africa North,Tunisia,72,71,1,0,0,0,0
2008 Q2,Europe Other,Turkey,463,444,1,0,5,13,0
2008 Q2,Asia Central,Turkmenistan,3,2,1,0,0,0,0
2008 Q2,Other,Turks and Caicos Islands (British),0,0,0,0,0,0,0
2008 Q2,Oceania,Tuvalu,0,0,0,0,0,0,0
2008 Q2,Africa Sub-Saharan,Uganda,50,36,0,0,7,7,0
2008 Q2,Europe Other,Ukraine,90,84,1,0,1,0,4
2008 Q2,Middle East,United Arab Emirates,0,0,0,0,0,0,0
2008 Q2,America North,United States,715,644,12,1,55,0,3
2008 Q2,America Central and South,Uruguay,4,4,0,0,0,0,0
2008 Q2,Asia Central,Uzbekistan,11,11,0,0,0,0,0
2008 Q2,Oceania,Vanuatu,0,0,0,0,0,0,0
2008 Q2,Europe Other,Vatican City,0,0,0,0,0,0,0
2008 Q2,America Central and South,Venezuela,22,20,0,0,0,0,2
2008 Q2,Asia South East,Vietnam,28,25,0,0,3,0,0
2008 Q2,Other,Virgin Islands (British),0,0,0,0,0,0,0
2008 Q2,America North,Virgin Islands (US),0,0,0,0,0,0,0
2008 Q2,Oceania,Wallis and Futuna,0,0,0,0,0,0,0
2008 Q2,Africa North,Western Sahara,0,0,0,0,0,0,0
2008 Q2,Middle East,Yemen,42,39,1,0,1,0,1
2008 Q2,Africa Sub-Saharan,Zambia,20,15,0,0,5,0,0
2008 Q2,Africa Sub-Saharan,Zimbabwe,240,77,4,0,29,125,5
2008 Q3,*Total,*Total,"14,061","11,701",152,35,905,921,347
2008 Q3,Africa North,*Total Africa North,458,432,10,0,11,4,1
2008 Q3,Africa Sub-Saharan,*Total Africa Sub-Saharan,"2,769","1,719",50,1,265,636,98
2008 Q3,America North,*Total America North,960,844,21,0,87,3,5
2008 Q3,America Central and South,*Total America Central and South,973,851,4,13,91,4,10
2008 Q3,Asia Central,*Total Asia Central,428,356,3,1,6,34,28
2008 Q3,Asia East,*Total Asia East,534,467,3,0,46,8,10
2008 Q3,Asia South,*Total Asia South,"4,354","3,991",16,5,108,77,157
2008 Q3,Asia South East,*Total Asia South East,"1,140",943,5,7,158,17,10
2008 Q3,EU 14,*Total EU 14,0,0,0,0,0,0,0
2008 Q3,EU 2,*Total EU 2,0,0,0,0,0,0,0
2008 Q3,EU 8,*Total EU 8,1,1,0,0,0,0,0
2008 Q3,EU Other,*Total EU Other,30,28,0,0,1,0,1
2008 Q3,Europe Other,*Total Europe Other,"1,262","1,130",9,6,47,53,17
2008 Q3,Middle East,*Total Middle East,721,589,11,0,29,82,10
2008 Q3,Oceania,*Total Oceania,350,289,16,0,45,0,0
2008 Q3,Other,*Total Other,81,61,4,2,11,3,0
2008 Q3,Asia Central,Afghanistan,384,325,0,0,1,32,26
2008 Q3,Europe Other,Albania,86,84,0,0,0,1,1
2008 Q3,Africa North,Algeria,125,119,1,0,5,0,0
2008 Q3,Oceania,American Samoa,0,0,0,0,0,0,0
2008 Q3,Europe Other,Andorra,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Angola,5,3,1,0,1,0,0
2008 Q3,Other,Anguilla (British),0,0,0,0,0,0,0
2008 Q3,America Central and South,Antigua and Barbuda,2,2,0,0,0,0,0
2008 Q3,America Central and South,Argentina,20,17,0,0,3,0,0
2008 Q3,Europe Other,Armenia,12,7,0,1,0,0,4
2008 Q3,America Central and South,Aruba,0,0,0,0,0,0,0
2008 Q3,Oceania,Australia,221,181,14,0,26,0,0
2008 Q3,EU 14,Austria,0,0,0,0,0,0,0
2008 Q3,Europe Other,Azerbaijan,12,7,1,0,3,0,1
2008 Q3,America Central and South,"Bahamas, The",1,1,0,0,0,0,0
2008 Q3,Middle East,Bahrain,0,0,0,0,0,0,0
2008 Q3,Asia South,Bangladesh,864,853,0,0,4,0,7
2008 Q3,America Central and South,Barbados,14,14,0,0,0,0,0
2008 Q3,Europe Other,Belarus,40,36,0,0,2,1,1
2008 Q3,EU 14,Belgium,0,0,0,0,0,0,0
2008 Q3,America Central and South,Belize,1,1,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Benin,3,3,0,0,0,0,0
2008 Q3,Other,Bermuda (British),0,0,0,0,0,0,0
2008 Q3,Asia South,Bhutan,0,0,0,0,0,0,0
2008 Q3,America Central and South,Bolivia,11,11,0,0,0,0,0
2008 Q3,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z,z,z
2008 Q3,Europe Other,Bosnia and Herzegovina,12,11,1,0,0,0,0
2008 Q3,Africa Sub-Saharan,Botswana,4,4,0,0,0,0,0
2008 Q3,America Central and South,Brazil,213,206,3,0,4,0,0
2008 Q3,Other,British overseas citizens,2,0,0,0,2,0,0
2008 Q3,Asia South East,Brunei,0,0,0,0,0,0,0
2008 Q3,EU 2,Bulgaria,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Burkina,0,0,0,0,0,0,0
2008 Q3,Asia South East,Burma,22,3,0,0,1,17,1
2008 Q3,Africa Sub-Saharan,Burundi,16,6,0,0,4,6,0
2008 Q3,Asia South East,Cambodia,3,3,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Cameroon,28,19,2,0,1,6,0
2008 Q3,America North,Canada,194,167,6,0,16,3,2
2008 Q3,Africa Sub-Saharan,Cape Verde,0,0,0,0,0,0,0
2008 Q3,Other,Cayman Islands (British),0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Central African Republic,3,0,0,0,0,3,0
2008 Q3,Africa Sub-Saharan,Chad,5,4,1,0,0,0,0
2008 Q3,America Central and South,Chile,13,11,0,0,2,0,0
2008 Q3,Asia East,China,284,230,1,0,36,8,9
2008 Q3,Oceania,Christmas Island,0,0,0,0,0,0,0
2008 Q3,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0
2008 Q3,America Central and South,Colombia,98,95,0,0,2,1,0
2008 Q3,Africa Sub-Saharan,Comoros,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Congo,4,2,0,0,0,2,0
2008 Q3,Africa Sub-Saharan,Congo (Democratic Republic),38,11,1,0,3,22,1
2008 Q3,Oceania,Cook Islands,0,0,0,0,0,0,0
2008 Q3,America Central and South,Costa Rica,4,3,0,0,0,0,1
2008 Q3,EU Other,Croatia,26,25,0,0,0,0,1
2008 Q3,America Central and South,Cuba,25,22,0,0,0,3,0
2008 Q3,America Central and South,Curacao,z,z,z,z,z,z,z
2008 Q3,EU Other,Cyprus,4,3,0,0,1,0,0
2008 Q3,Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0
2008 Q3,EU 8,Czech Republic,0,0,0,0,0,0,0
2008 Q3,EU 14,Denmark,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Djibouti,3,3,0,0,0,0,0
2008 Q3,America Central and South,Dominica,3,3,0,0,0,0,0
2008 Q3,America Central and South,Dominican Republic,21,21,0,0,0,0,0
2008 Q3,Asia South East,East Timor,0,0,0,0,0,0,0
2008 Q3,America Central and South,Ecuador,20,20,0,0,0,0,0
2008 Q3,Africa North,Egypt,97,88,6,0,2,1,0
2008 Q3,America Central and South,El Salvador,3,3,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Equatorial Guinea,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Eritrea,97,18,1,0,0,76,2
2008 Q3,EU 8,Estonia,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Ethiopia,63,50,1,0,2,10,0
2008 Q3,Other,Falkland Islands (British),0,0,0,0,0,0,0
2008 Q3,Europe Other,Faroe Islands,0,0,0,0,0,0,0
2008 Q3,Oceania,Fiji,2,2,0,0,0,0,0
2008 Q3,EU 14,Finland,0,0,0,0,0,0,0
2008 Q3,Europe Other,Former Yugoslavia,21,17,1,0,3,0,0
2008 Q3,EU 14,France,0,0,0,0,0,0,0
2008 Q3,America Central and South,French Guiana,0,0,0,0,0,0,0
2008 Q3,Oceania,French Polynesia,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Gabon,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,"Gambia, The",111,98,0,0,8,5,0
2008 Q3,Europe Other,Georgia,15,13,0,0,0,2,0
2008 Q3,EU 14,Germany,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Ghana,237,196,1,0,39,1,0
2008 Q3,Other,Gibraltar (British),0,0,0,0,0,0,0
2008 Q3,EU 14,Greece,0,0,0,0,0,0,0
2008 Q3,Europe Other,Greenland,0,0,0,0,0,0,0
2008 Q3,America Central and South,Grenada,7,7,0,0,0,0,0
2008 Q3,America Central and South,Guadeloupe,0,0,0,0,0,0,0
2008 Q3,Oceania,Guam,0,0,0,0,0,0,0
2008 Q3,America Central and South,Guatemala,15,2,0,13,0,0,0
2008 Q3,Africa Sub-Saharan,Guinea,13,8,1,0,0,4,0
2008 Q3,Africa Sub-Saharan,Guinea-Bissau,0,0,0,0,0,0,0
2008 Q3,America Central and South,Guyana,14,12,0,0,2,0,0
2008 Q3,America Central and South,Haiti,3,3,0,0,0,0,0
2008 Q3,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0
2008 Q3,America Central and South,Honduras,1,1,0,0,0,0,0
2008 Q3,Asia East,Hong Kong,68,63,0,0,4,0,1
2008 Q3,EU 8,Hungary,0,0,0,0,0,0,0
2008 Q3,Europe Other,Iceland,0,0,0,0,0,0,0
2008 Q3,Asia South,India,900,798,3,3,55,0,41
2008 Q3,Asia South East,Indonesia,30,29,1,0,0,0,0
2008 Q3,Middle East,Iran,130,101,2,0,5,18,4
2008 Q3,Middle East,Iraq,369,302,4,0,21,41,1
2008 Q3,EU 14,Ireland,0,0,0,0,0,0,0
2008 Q3,Middle East,Israel,40,38,1,0,1,0,0
2008 Q3,EU 14,Italy,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Ivory Coast,23,9,0,0,5,9,0
2008 Q3,America Central and South,Jamaica,328,249,1,0,72,0,6
2008 Q3,Asia East,Japan,108,105,0,0,3,0,0
2008 Q3,Middle East,Jordan,38,35,1,0,2,0,0
2008 Q3,Asia Central,Kazakhstan,14,10,0,1,2,0,1
2008 Q3,Africa Sub-Saharan,Kenya,144,112,5,0,21,0,6
2008 Q3,Oceania,Kiribati,0,0,0,0,0,0,0
2008 Q3,Asia East,Korea (North),0,0,0,0,0,0,0
2008 Q3,Asia East,Korea (South),32,31,1,0,0,0,0
2008 Q3,Europe Other,Kosovo,0,0,0,0,0,0,0
2008 Q3,Middle East,Kuwait,1,1,0,0,0,0,0
2008 Q3,Asia Central,Kyrgyzstan,6,6,0,0,0,0,0
2008 Q3,Asia South East,Laos,3,3,0,0,0,0,0
2008 Q3,EU 8,Latvia,0,0,0,0,0,0,0
2008 Q3,Middle East,Lebanon,34,29,0,0,0,5,0
2008 Q3,Africa Sub-Saharan,Lesotho,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Liberia,9,4,0,0,3,0,2
2008 Q3,Africa North,Libya,20,19,0,0,1,0,0
2008 Q3,Europe Other,Liechtenstein,0,0,0,0,0,0,0
2008 Q3,EU 8,Lithuania,0,0,0,0,0,0,0
2008 Q3,EU 14,Luxembourg,0,0,0,0,0,0,0
2008 Q3,Asia East,Macau,1,1,0,0,0,0,0
2008 Q3,Europe Other,Macedonia,8,8,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Madagascar,1,1,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Malawi,12,10,0,0,2,0,0
2008 Q3,Asia South East,Malaysia,62,49,0,0,12,0,1
2008 Q3,Asia South,Maldives,1,1,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Mali,0,0,0,0,0,0,0
2008 Q3,EU Other,Malta,0,0,0,0,0,0,0
2008 Q3,Oceania,Marshall Islands,0,0,0,0,0,0,0
2008 Q3,America Central and South,Martinique,0,0,0,0,0,0,0
2008 Q3,Africa North,Mauritania,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Mauritius,107,88,0,0,19,0,0
2008 Q3,Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0
2008 Q3,America Central and South,Mexico,44,43,0,0,1,0,0
2008 Q3,Oceania,Micronesia,0,0,0,0,0,0,0
2008 Q3,Europe Other,Moldova,10,7,0,0,3,0,0
2008 Q3,Europe Other,Monaco,0,0,0,0,0,0,0
2008 Q3,Asia East,Mongolia,6,5,0,0,1,0,0
2008 Q3,Europe Other,Montenegro,3,3,0,0,0,0,0
2008 Q3,Other,Montserrat (British),0,0,0,0,0,0,0
2008 Q3,Africa North,Morocco,113,110,2,0,1,0,0
2008 Q3,Africa Sub-Saharan,Mozambique,1,1,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Namibia,5,5,0,0,0,0,0
2008 Q3,Oceania,Nauru,0,0,0,0,0,0,0
2008 Q3,Asia South,Nepal,226,166,7,0,27,2,24
2008 Q3,EU 14,Netherlands,0,0,0,0,0,0,0
2008 Q3,America Central and South,Netherlands Antilles,0,0,0,0,0,0,0
2008 Q3,Oceania,New Caledonia,0,0,0,0,0,0,0
2008 Q3,Oceania,New Zealand,123,104,1,0,18,0,0
2008 Q3,America Central and South,Nicaragua,3,3,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Niger,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Nigeria,374,329,10,0,26,3,6
2008 Q3,Oceania,Niue,0,0,0,0,0,0,0
2008 Q3,Oceania,Norfolk Island,0,0,0,0,0,0,0
2008 Q3,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0
2008 Q3,Europe Other,Norway,0,0,0,0,0,0,0
2008 Q3,Middle East,Occupied Palestinian Territories,21,10,1,0,0,10,0
2008 Q3,Middle East,Oman,3,2,1,0,0,0,0
2008 Q3,Other,Other and unknown,66,51,4,2,6,3,0
2008 Q3,Asia South,Pakistan,"1,983","1,928",2,2,11,21,19
2008 Q3,Oceania,Palau,0,0,0,0,0,0,0
2008 Q3,America Central and South,Panama,2,2,0,0,0,0,0
2008 Q3,Oceania,Papua New Guinea,2,1,0,0,1,0,0
2008 Q3,America Central and South,Paraguay,6,6,0,0,0,0,0
2008 Q3,America Central and South,Peru,34,28,0,0,3,0,3
2008 Q3,Asia South East,Philippines,410,297,4,0,101,0,8
2008 Q3,Other,Pitcairn Islands (British),0,0,0,0,0,0,0
2008 Q3,EU 8,Poland,0,0,0,0,0,0,0
2008 Q3,EU 14,Portugal,0,0,0,0,0,0,0
2008 Q3,America North,Puerto Rico,0,0,0,0,0,0,0
2008 Q3,Middle East,Qatar,0,0,0,0,0,0,0
2008 Q3,Other,Refugee,6,6,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0
2008 Q3,EU 2,Romania,0,0,0,0,0,0,0
2008 Q3,Europe Other,Russia,236,207,3,5,11,1,9
2008 Q3,Africa Sub-Saharan,Rwanda,7,5,0,0,2,0,0
2008 Q3,Oceania,Samoa,1,1,0,0,0,0,0
2008 Q3,Europe Other,San Marino,0,0,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Sao Tome and Principe,0,0,0,0,0,0,0
2008 Q3,Middle East,Saudi Arabia,1,1,0,0,0,0,0
2008 Q3,Africa Sub-Saharan,Senegal,5,5,0,0,0,0,0
2008 Q3,Europe Other,Serbia,4,4,0,0,0,0,0
2008 Q3,Europe Other,Serbia and Montenegro,z,z,z,z,z,z,z
2008 Q3,Africa Sub-Saharan,Seychelles,5,4,1,0,0,0,0
